mp-546862 HgPb2(ClO)2
mp-1192674 Ba(LuSe2)2
mp-558427 Na6Mg(SO4)4
mp-510292 CuPH6NO5
mp-1025069 PrSn2
mp-505825 Cs2PtC2
mp-26124 V2(PO4)3
mp-567933 FeCN2
mp-559103 Na7Y2P7O24
mp-22198 Nb2NiO6
mp-624355 Ce14Si11Ni6
mp-16370 Th2Ge
mp-554346 KSr4(BO3)3
mp-7168 TbPPt
mp-27490 Te2AuCl
mp-1195744 BaEr2Si3O10
mp-568861 CsAuN12
mp-18938 Tl2MoO4
mp-722246 SiH10(O2F3)2
mp-5682 Th(SiNi)2
mp-6669 Sr5P3O12F
mp-1071288 Rb2S
mp-1190774 Ta6Ga5
mp-1189150 Th(As3Os)4
mp-28639 Tl2GeTe5
mp-570272 Tb2Mg3Ni2
mp-557323 Na2V2ZnO7
mp-27648 Te2Br
mp-621624 Tl7Sb2
mp-485 ZrNi3
mp-6696 K2Ti2(PO4)3
mp-18881 KCr4O8
mp-3448 KMgF3
mp-1773 ReB2
mp-23931 LiPH2O3
mp-1017532 VN
mp-505512 Ce2Sc3Si4
mp-567957 Sm4MgRh
mp-21337 U2SnPd2
mp-570673 ScNi5
mp-1188535 Y6NiI10
mp-5135 Dy(CoB)2
mp-1192635 Dy6Mn23
mp-1078795 TmGe3
mp-1019380 Al3BN4
mp-1201354 PrBr5N2
mp-1198174 CuMo3O11
mp-559834 AgBTe4C(OF4)5
mp-1101967 NbCoAs
mp-3747 Ti3AlC2
mp-28513 Pb(ClO3)2
mp-568725 Dy(FeB)2
mp-582587 SbH6C2I
mp-540763 TiMn2O4
mp-1202439 K2Cr2AsO10
mp-567830 Sm(CrSi)2
mp-18844 CaMn2O4
mp-559852 CsUGa(PO5)2
mp-600211 Mo2H26C8N2O5F6
mp-1179976 Nd2Al3Ge4
mp-23133 Sr2Cu3(BrO2)2
mp-774676 CaV5H19O23
mp-1102302 CeOs2
mp-680185 CsRe6Se8I3
mp-30837 TbTlPd
mp-1212972 Dy3In5
mp-1079806 TiMnAs
mp-561472 Hg2PO3F
mp-18946 VBO3
mp-29715 TeWBr9
mp-565692 K3Bi5(PO4)6
mp-16433 Ca2Ga2O5
mp-15573 Tl3AsO4
mp-1087542 UNiC2
mp-16723 Y3Al2
mp-1193684 Fe3Si2O9
mp-7015 CsCeS2
mp-8708 Mg(AuF4)2
mp-573812 Cs3As11
mp-703545 SbH6C(NCl2)3
mp-1201368 IrN5Cl3
mp-554858 Cs2NaMnF6
mp-2723 IrO2
mp-1095587 LaGaPt
mp-1103217 HoAsSe
mp-995 EuIr2
mp-746 Sr5Si3
mp-3417 Ca(BO2)2
mp-1199144 PrErS3
mp-570630 Tb2In16Pt7
mp-578949 Na4Mn3P4O15
mp-20127 NpAsSe
mp-875 AlOs
mp-29961 Sr(C2N3)2
mp-9511 K2AsAuS4
mp-571016 KSnSe2
mp-1201269 CaCeAl2FeSi3O13
mp-571185 HfCoSb
mp-566296 SnS8(N2Cl)4
mp-1202543 NaH12RuC4S2(Cl2O)2
mp-28495 ZrBr2
mp-745159 MoPH3O7
mp-561311 K2P2WO9
mp-1188895 Ho2SnAu2
mp-21795 Yb(Ga4Co)2
mp-30501 Ti2Cd
mp-510729 CaCuAsHO5
mp-1189894 Y2MnCoO6
mp-442 RhPb
mp-936 Hg4Pt
mp-999339 NdNi
mp-1197485 Bi2W2O9
mp-683990 Na3Mg(BO2)5
mp-9694 Tm3(GePd)4
mp-616175 EuSO4
mp-29623 SrZnBi2
mp-19397 Ba2Na(NiO2)3
mp-1077399 NaAs2
mp-505344 U3Co7B2
mp-567905 U3Ni3Sn4
mp-23781 Rb3H(SO4)2
mp-1201890 Al4P5HN2O21
mp-1193545 Cu(SbO2)2
mp-559753 K6Mo10O33
mp-1084771 Be3P2
mp-21688 Fe7S8
mp-29938 Ba(GaSb)2
mp-29509 Zn(AsO2)2
mp-570806 Mg30Al24Ag19
mp-559520 In2Ag3(PO4)3
mp-571376 Dy4CdCo
mp-15121 RbFe2Te3
mp-1189214 Y2MnCrO6
mp-28122 LiGdCl4
mp-1199146 Sr8Fe5Re5O28
mp-556822 Na2CuP2O7
mp-13369 Ba3CaIr2O9
mp-1194736 Na5Mn3S4(O4F)4
mp-1102216 USiRu
mp-542803 V6Zn3(FeO6)4
mp-558239 Rb4U5O17
mp-27738 P2W3O13
mp-556536 Na2Zr(CuS2)2
mp-1092 HoHg
mp-1102464 SmGaPt
mp-570268 MnSbSe2I
mp-12780 Sr(GaAu)2
mp-1198333 Na5Cu2H14S4O19
mp-1198593 PuUP4H4(CO8)2
mp-1204970 Yb13Zn58
mp-559168 Sb2(KrF4)5
mp-722262 CaB3H3O7
mp-1196298 V4Pb3O3F19
mp-1095135 DyGa2Ni
mp-6709 Ca3La3(BO3)5
mp-1080439 P4Ru
mp-540955 LuH18C3S3(O2F)9
mp-1202248 ReH30Ru2(NCl)10
mp-20187 LiInSe2
mp-8642 Re
